Question_EN,Question_TE,OptionA_EN,OptionA_TE,OptionB_EN,OptionB_TE,OptionC_EN,OptionC_TE,OptionD_EN,OptionD_TE,Answer
"Which Article of the Constitution provides for the establishment of Inter-State Council?",రాజ్యాంగంలో అంతర్ రాష్ట్ర మండలి స్థాపనకు సంబంధించిన ఆర్టికల్ ఏది?,"Article 262",ఆర్టికల్ 262,"Article 263",ఆర్టికల్ 263,"Article 280",ఆర్టికల్ 280,"Article 352",ఆర్టికల్ 352,B
"The Panchayati Raj system was constitutionalized through which Amendment?",పంచాయతీ రాజ్ వ్యవస్థ ఏ సవరణ ద్వారా రాజ్యాంగీకరించబడింది?,"61st Amendment",61వ సవరణ,"73rd Amendment",73వ సవరణ,"74th Amendment",74వ సవరణ,"86th Amendment",86వ సవరణ,B
"Which Constitutional Amendment is known as the Mini Constitution?",ఏ రాజ్యాంగ సవరణను చిన్న రాజ్యాంగం అని పిలుస్తారు?,"24th Amendment",24వ సవరణ,"42nd Amendment",42వ సవరణ,"44th Amendment",44వ సవరణ,"52nd Amendment",52వ సవరణ,B
"The power to issue writs under Article 32 can be suspended during?",ఆర్టికల్ 32 క్రింద రిట్లు జారీ చేసే అధికారం ఏ సమయంలో నిలిపివేయబడుతుంది?,War,యుద్ధం,Emergency,అత్యవసర పరిస్థితి,"President's Rule",రాష్ట్రపతి పాలన,"Financial Emergency",ఆర్థిక అత్యవసర పరిస్థితి,B
"Who appoints the Chairman of the Union Public Service Commission?",కేంద్ర ప్రజా సేవా సంఘం అధ్యక్షుడిని ఎవరు నియమిస్తారు?,President,రాష్ట్రపతి,"Prime Minister",ప్రధానమంత్రి,"Chief Justice of India",భారత ప్రధాన న్యాయమూర్తి,Parliament,పార్లమెంటు,A
"The National Commission for Backward Classes was given constitutional status through?",జాతీయ వెనుకబాటు వర్గాల కమిషన్‌కు రాజ్యాంగ హోదా ఏ సవరణ ద్వారా లభించింది?,"101st Amendment",101వ సవరణ,"102nd Amendment",102వ సవరణ,"103rd Amendment",103వ సవరణ,"104th Amendment",104వ సవరణ,B
"Which schedule contains provisions for administration of Scheduled Areas?",షెడ్యూల్డ్ ప్రాంతాల పరిపాలనకు సంబంధించిన నిబంధనలు ఏ షెడ్యూల్‌లో ఉన్నాయి?,"Fifth Schedule",ఐదవ షెడ్యూల్,"Sixth Schedule",ఆరవ షెడ్యూల్,"Seventh Schedule",ఏడవ షెడ్యూల్,"Eighth Schedule",ఎనిమిదవ షెడ్యూల్,A
"The concept of Public Interest Litigation was introduced by?",ప్రజా ప్రయోజన వ్యాజ్యం భావనను ఎవరు ప్రవేశపెట్టారు?,"Justice V.R. Krishna Iyer",న్యాయమూర్తి వి.ఆర్. కృష్ణ అయ్యర్,"Justice P.N. Bhagwati",న్యాయమూర్తి పి.ఎన్. భగవతి,"Justice Hidayatullah",న్యాయమూర్తి హిదాయతుల్లా,"Justice Subba Rao",న్యాయమూర్తి సుబ్బారావు,B
"The Constitution provides for how many types of emergencies?",రాజ్యాంగం ఎన్ని రకాల అత్యవసర పరిస్థితులను అందిస్తుంది?,One,ఒకటి,Two,రెండు,Three,మూడు,Four,నాలుగు,C
"Which Article deals with the impeachment of the President?",రాష్ట్రపతి అభిశంసనకు సంబంధించిన ఆర్టికల్ ఏది?,"Article 56",ఆర్టికల్ 56,"Article 61",ఆర్టికల్ 61,"Article 72",ఆర్టికల్ 72,"Article 75",ఆర్టికల్ 75,B
